questao_id,materia,assunto,ativa,n_alt,status
2,Legislação de Guardas Municipais,Estatuto Geral das Guardas Municipais,true,4,EXPLICACAO_INCOMPLETA
3,Direito Constitucional,Segurança pública,true,4,EXPLICACAO_INCOMPLETA
4,Legislação de Trânsito,Normas de circulação,true,4,EXPLICACAO_INCOMPLETA
5,Direito Penal,Crimes contra a Administração Pública,true,4,EXPLICACAO_INCOMPLETA
6,Língua Portuguesa,Crase,true,4,EXPLICACAO_INCOMPLETA
7,Direito Processual Penal,Inquérito policial,true,4,EXPLICACAO_INCOMPLETA
8,Direito Processual Penal,Cadeia de custódia,true,4,EXPLICACAO_INCOMPLETA
9,Direito Penal,Concurso de pessoas,true,4,EXPLICACAO_INCOMPLETA
10,Legislação Penal Especial,Abuso de Autoridade,true,4,EXPLICACAO_INCOMPLETA
11,Informática,Segurança da informação,true,4,EXPLICACAO_INCOMPLETA
12,Legislação Específica,Hierarquia e disciplina,true,4,EXPLICACAO_INCOMPLETA
13,Direitos Humanos e Cidadania,Dignidade humana,true,4,EXPLICACAO_INCOMPLETA
14,Matemática,Porcentagem,true,4,EXPLICACAO_INCOMPLETA
15,Informática,Segurança da informação,true,4,EXPLICACAO_INCOMPLETA
16,Língua Portuguesa,Concordância verbal,true,4,EXPLICACAO_INCOMPLETA
17,Língua Portuguesa,Interpretação de textos,true,5,EXPLICACAO_INCOMPLETA
18,Língua Portuguesa,Redação oficial,true,5,EXPLICACAO_INCOMPLETA
19,Legislação Específica,Segurança pública,true,5,EXPLICACAO_INCOMPLETA
20,Legislação Específica,Estatuto dos Militares Estaduais,true,5,EXPLICACAO_INCOMPLETA
21,Legislação Específica,Lei Maria da Penha,true,5,EXPLICACAO_INCOMPLETA
22,Conhecimentos Gerais,Rio Grande do Sul,true,5,EXPLICACAO_INCOMPLETA
23,Conhecimentos Gerais,Organizações internacionais,true,5,EXPLICACAO_INCOMPLETA
24,Conhecimentos Gerais,Cidadania digital,true,5,EXPLICACAO_INCOMPLETA
25,Matemática,Porcentagem,true,5,EXPLICACAO_INCOMPLETA
26,Matemática,Razão e proporção,true,5,EXPLICACAO_INCOMPLETA
27,Matemática,Juros simples,true,5,EXPLICACAO_INCOMPLETA
28,Direitos Humanos e Cidadania,Direitos fundamentais,true,5,EXPLICACAO_INCOMPLETA
29,Direitos Humanos e Cidadania,Prevenção da tortura,true,5,EXPLICACAO_INCOMPLETA
30,Direitos Humanos e Cidadania,Pessoa com deficiência,true,5,EXPLICACAO_INCOMPLETA
31,Informática,Windows,true,5,EXPLICACAO_INCOMPLETA
32,Informática,Segurança da informação,true,5,EXPLICACAO_INCOMPLETA
33,Informática,Planilhas eletrônicas,true,5,EXPLICACAO_INCOMPLETA
34,Língua Portuguesa,"Transitividade Verbal e Termos Integrantes (Objeto Direto e Indireto, Complemento Nominal e Agente da Passiva)",true,4,EXPLICACAO_INCOMPLETA
38,Legislação Específica,Segurança pública,true,5,EXPLICACAO_GENERICA
39,Legislação Específica,Constituição do Estado do Rio Grande do Sul,true,5,EXPLICACAO_GENERICA
40,Legislação Específica,Lei Maria da Penha,true,5,EXPLICACAO_GENERICA
41,Legislação Específica,Segurança pública,true,5,EXPLICACAO_GENERICA
42,Legislação Específica,Improbidade Administrativa,true,5,EXPLICACAO_GENERICA
43,Legislação Específica,Lei de Organização Básica da Brigada Militar,true,5,EXPLICACAO_GENERICA
44,Legislação Específica,Atos administrativos,true,5,EXPLICACAO_GENERICA
45,Legislação Específica,Hierarquia e disciplina,true,5,EXPLICACAO_GENERICA
46,Legislação Específica,Direitos e Garantias Fundamentais,true,5,EXPLICACAO_GENERICA
47,Legislação Específica,Defesa do Estado e das Instituições Democráticas,true,5,EXPLICACAO_GENERICA
48,Legislação Específica,Constituição Federal de 1988,true,5,EXPLICACAO_GENERICA
49,Legislação Específica,Improbidade Administrativa,true,5,EXPLICACAO_GENERICA
50,Legislação Específica,Estatuto do Desarmamento,true,5,EXPLICACAO_GENERICA
51,Legislação Específica,Lei Maria da Penha,true,5,EXPLICACAO_GENERICA
52,Legislação Específica,Constituição do Estado do Rio Grande do Sul,true,5,EXPLICACAO_GENERICA
53,Legislação Específica,Estatuto dos Militares Estaduais,true,5,EXPLICACAO_GENERICA
54,Legislação Específica,Estatuto Nacional da Igualdade Racial,true,5,EXPLICACAO_GENERICA
55,Direitos Humanos e Cidadania,Pessoa com deficiência,true,5,EXPLICACAO_GENERICA
56,Direitos Humanos e Cidadania,Pacto de San José da Costa Rica,true,5,EXPLICACAO_GENERICA
57,Direitos Humanos e Cidadania,Abuso de Autoridade,true,5,EXPLICACAO_GENERICA
58,Direitos Humanos e Cidadania,Pacto Internacional sobre Direitos Civis e Políticos,true,5,EXPLICACAO_GENERICA
59,Direitos Humanos e Cidadania,Lei de Tortura,true,5,EXPLICACAO_GENERICA
60,Informática,Windows,true,5,EXPLICACAO_GENERICA
61,Informática,Editor de textos,true,5,EXPLICACAO_GENERICA
62,Informática,Planilhas eletrônicas,true,5,EXPLICACAO_GENERICA
63,Informática,Internet e navegadores,true,5,EXPLICACAO_GENERICA
64,Informática,Internet e navegadores,true,5,EXPLICACAO_GENERICA
65,Língua Portuguesa,Interpretação de textos,true,5,EXPLICACAO_GENERICA
66,Língua Portuguesa,Ortografia,true,5,EXPLICACAO_GENERICA
67,Língua Portuguesa,Conectores,true,5,EXPLICACAO_GENERICA
68,Língua Portuguesa,Significação das palavras,true,5,EXPLICACAO_GENERICA
69,Língua Portuguesa,Coesão textual,true,5,EXPLICACAO_GENERICA
70,Língua Portuguesa,Crase,true,5,EXPLICACAO_GENERICA
71,Língua Portuguesa,Classes de palavras,true,5,EXPLICACAO_GENERICA
72,Língua Portuguesa,Reescrita de frases e textos,true,5,EXPLICACAO_GENERICA
73,Língua Portuguesa,Redação oficial,true,5,EXPLICACAO_GENERICA
74,Raciocínio Lógico,Proposições e conectivos,true,5,EXPLICACAO_INCOMPLETA
75,Raciocínio Lógico,Tabela-verdade,true,5,EXPLICACAO_INCOMPLETA
76,Raciocínio Lógico,"Tautologia, contradição e contingência",true,5,EXPLICACAO_INCOMPLETA
77,Raciocínio Lógico,Leis de De Morgan,true,5,EXPLICACAO_INCOMPLETA
78,Raciocínio Lógico,Sentenças abertas e conjunto-verdade,true,5,EXPLICACAO_INCOMPLETA
